id;nombre;departamento_id;zona_id
1;REMEDIOS;1;1
2;RIONEGRO;1;1
3;SAN CARLOS;1;1
4;SAN ROQUE;1;1
5;SAN VICENTE;1;1
6;VEGACHÍ;1;1
7;YOLOMBÓ;1;1
8;ARMENIA;1;2
9;FREDONIA;1;2
10;LA UNIÓN;1;2
11;SANTA BÁRBARA;1;2
12;SANTA FE DE ANTIOQUIA;1;2
13;SONSÓN;1;2
14;TITIRIBÍ;1;2
15;VALDIVIA;1;2
16;AMALFI;1;3
17;ANGOSTURA;1;3
18;ANORÍ;1;3
19;BELLO;1;3
20;CALDAS;1;3
21;EL BAGRE;1;3
22;MEDELLÍN;1;3
23;NECHÍ;1;3
24;SANTA ROSA DE OSOS;1;3
25;SANTO DOMINGO;1;3
26;SEGOVIA;1;3
27;ABRIAQUÍ;1;4
28;DABEIBA;1;4
29;FRONTINO;1;4
30;GIRALDO;1;4
